title,author,length
The Heartbreaker,Sara Cate,Length: 11 hrs and 15 mins
"Ascendance of a Bookworm: Part 1, Volume 2","Miya Kazuki,quof - translator",Length: 9 hrs and 20 mins
The Academy,Patrick Bet-David,Length: 11 hrs and 45 mins
Demon Hunter,Louisa Masters,Length: 6 hrs and 53 mins
Secrets of the Lost Ledgers,C.J. Archer,Length: 8 hrs and 17 mins
Dungeon Lord: Nightmare Kingdom,Hugo Huesca,Length: 29 hrs and 58 mins
Aftermath 2,Bobby Akart,Length: 6 hrs and 56 mins
The Devil Himself,BB Easton,Length: 12 hrs and 56 mins
Barry,Kris Michaels,Length: 5 hrs and 29 mins
Chilling Reflections,Drew Hayes,Length: 34 hrs
The Fight for Female,Lisa Bevere,Length: 8 hrs and 2 mins
Wreck & Ruin,Emma Slate,Length: 11 hrs and 44 mins
Magic Breaks (Dramatized Adaptation),Ilona Andrews,Length: 11 hrs
The Late Lord Thorpe,Peter Grainger,Length: 14 hrs
Reentry,Eric Berger,Length: 12 hrs and 59 mins
Tangled Up with the Highlander,Julie Johnstone,Length: 6 hrs and 39 mins
Returner's Defiance,Bruce Sentar,Length: 14 hrs and 2 mins
Snowed in with the Vampire Prince,Jay Castle,Length: 3 hrs and 31 mins
Tackled in the Stacks,S.J. Tilly,Length: 2 hrs and 22 mins
The Missing Half,"Ashley Flowers,Alex Kiester - contributor",Length: 10 hrs and 30 mins
